id,title,overview
0000769c-11de-49bb-b222-76a2a1507753,Fancy Pants,An American actor impersonating an English butler is hired by a nouveau riche woman from New Mexico to refine her husband and headstrong daughter. The complications increase when the town believes the actor/butler to be an Ear and President Roosevelt decides to pay a visit.
0000b501-89e1-4090-b596-23b774a25627,Away We Go,"Verona and Burt have moved to Colorado to be close to Burt's parents but, with Veronica expecting their first child, Burt’s parents decide to move to Belgium, now leaving them in a place they hate and without a support structure in place. They set off on a whirlwind tour of of disparate locations where they have friends or relatives, sampling not only different cities and climates but also different families. Along the way they realize that the journey is less about discovering where they want to live and more about figuring out what type of parents they want to be."
0000c11b-ca7a-469d-84ea-30eeeac0839c,Shane,"A weary gunfighter attempts to settle down with a homestead family, but a smouldering settler and rancher conflict forces him to act."
0003ae06-5e61-4734-8fac-6c32bb34e6c9,American Mary,A young med student struggling with her tuition fees is drawn into the shady world of underground body modification.
000557b8-28d5-4f2b-860d-361096001bd1,Angels & Demons,"Harvard symbologist Robert Langdon investigates a mysterious symbol seared into the chest of a murdered physicist. He discovers evidence of the unimaginable, the rebirth of an ancient secret brotherhood known as the Illuminati, the most powerful underground organization ever to walk the earth."
0006ccef-34a9-4e1e-b2fe-f0a333143e47,Ten Tall Men,"Sgt. Mike Kincaid of the French Foreign Legion learns, from a Riff prisoner, that an attack will soon be made by the villainous Hussin on the Legion's outpost of Tarfa. Kincaid volunteers to lead nine other Legionnaires on a mission to delay Hussin's attack till reinforcements arrive. When he discovers that Hussin plans to marry Mahla, a girl from a rival tribe, in order to build a coalition against the French, Kincaid kidnaps Mahla. Hussin forcefully takes her back, but by now his planned attack on Tarfa is crumbling and Mahla has begun to fall in love with Kincaid."
0007a60d-3c99-421a-9dbf-15b9f25a999d,Flight of the Conchords: A Texan Odyssey,Flight of the Conchords embark on a revealing and hilarious odyssey into the political and musical heart of the United States of America.
000805ba-75a2-4e85-9cfb-1048edae1d1a,The Last Survivors,"In the near future, society collapses and water becomes scarce. When a greedy water baron starts violently clearing out survivors, Kendal, a 17-year-old teenager, fights the baron's henchman to keep a well open."
000bbea6-2b9c-409c-ae28-4feca6e7aed5,Three Men and a Cradle,"Three young men (Jacques, Pierre and Michel) share an apartment in Paris, and have many girlfriends and parties. Once, during a party, a friend of Jacques' tells him he has a quite compromising package to deliver, and asks him if he can leave it discreetly at their place. Jacques agrees and, as he works as a steward, flies away for a one month trip in Japan, telling Pierre and Michel about the package. Then, one of Jacques' former girlfriends drops a baby before their door, making Pierre and Michel believing it is the package they are waiting for. Their lives are then completely changed."
000d48d5-928c-4354-a9f2-09ec9d026097,Lone Wolves,"After an apocalypse of questionable origin, Private James Conroy is living in an abandoned shack at the base of a radio tower. When Conroy finally contacts Garry Freeman, marooned in a space station, they have to learn to work together if they're going to save themselves, and maybe all of civilization."
000d82fc-7c4b-44fd-a4ed-b9e967c0048d,King,"After Coimbatore-based Ravichandra Verma passes away, his young son, Raja, assumes the responsibility of running the family business as well as ensuring that his brother, Ajay, gets a good education - much to the chagrin of three of his uncles. Years later, while on a trip to Uttaranchal, despite of warnings from a Pandit, he gets killed by a female assassin, but his family is informed that he is missing. Shortly thereafter, Gyaneshwar Kale and his sister, Sravani/Shivani, will inform the family that Raja is still alive but is handicapped and suffers from memory loss. The family is overjoyed but are not aware that Raja is actually a hoodlum/extortionist known as Bottu Seenu/Raghu Rokda."
0010f201-4987-4c19-88ef-f4247b01cde1,The Merchant of Venice,"In 16th century Venice, when a merchant must default on a large loan from an abused Jewish moneylender for a friend with romantic ambitions, the bitterly vengeful creditor demands a gruesome payment instead."
